id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7000100850,20140926T000000,,4,1.75,1230,7890,1,0,1,4,7,1090,140,1950,0,98004,47.5808,-122.189,2380,13176
4037400280,20140923T000000,,3,1.75,1770,7875,1,0,0,4,7,1170,600,1958,0,98008,47.606,-122.125,1670,8000
1423400160,20140618T000000,,2,1,1080,9435,1,0,0,3,6,1080,0,1958,0,98058,47.459,-122.181,1200,9210
7767400060,20141119T000000,,4,2.5,2300,7314,1,0,0,4,8,1420,880,1979,0,98133,47.7671,-122.33,2010,7314
9465900500,20140617T000000,,3,2.5,2830,6536,2,0,0,3,9,2830,0,1989,0,98072,47.7462,-122.172,2710,6954
3831250150,20150326T000000,,3,2.75,2692,6197,2,0,0,3,9,2692,0,2007,0,98030,47.3569,-122.202,2336,5700
5245400030,20150223T000000,,4,1,1250,9102,1,0,0,3,7,1250,0,1955,0,98148,47.4258,-122.327,1260,9180
1782000160,20140530T000000,,2,1,1090,5000,1,0,0,4,7,730,360,1942,0,98126,47.5258,-122.378,990,5250
2436200395,20140610T000000,,3,3,2940,4622,2,0,0,4,9,2230,710,1988,0,98105,47.6641,-122.293,1580,4000
9348700020,20140825T000000,,4,2.75,3280,6845,2,0,0,3,10,3280,0,2003,0,98052,47.7042,-122.107,3280,7467
797000330,20150402T000000,,3,1.75,2150,19127,1,0,0,3,7,1650,500,1978,0,98168,47.5061,-122.324,1550,15000
3222049112,20150507T000000,,3,2.5,2780,8225,2,0,1,3,9,2780,0,1990,0,98198,47.3509,-122.323,720,9736
109200140,20150506T000000,,4,2.5,2300,8100,1,0,0,4,8,1360,940,1979,0,98023,47.2979,-122.371,1910,7630
2125049139,20140806T000000,,3,2.5,2500,7746,2,0,0,4,10,1910,590,1993,0,98112,47.6393,-122.311,2480,5099
3291800140,20141107T000000,,3,1,1360,9310,1,0,0,4,7,1020,340,1980,0,98056,47.4901,-122.185,1480,8330
3333001430,20140912T000000,,3,3,2130,5000,1.5,0,0,3,7,1570,560,1913,0,98118,47.5451,-122.284,1638,4500
7883600700,20150122T000000,,2,1,670,4500,1,0,0,3,5,670,0,1905,0,98108,47.5271,-122.326,1210,4500
6662410250,20150321T000000,,4,2.25,2230,11200,1,0,0,4,7,1300,930,1977,0,98011,47.7691,-122.167,2090,10563
305000170,20140610T000000,,3,2.5,2510,6320,2,0,0,3,9,2510,0,1996,0,98075,47.5868,-122.033,2518,5819
